building,name,lat,lon,first_seen,last_seen,note
152-1,롯데국제교육관(152-1동),37.46657,126.95119,2021-1,2026-2,서울대 캠퍼스맵 API
153,우정원 글로벌사회공헌센터(153동),37.46642,126.95217,2021-1,2026-2,서울대 캠퍼스맵 API
200,농업생명과학대학(200동),37.45769,126.94868,2021-1,2026-2,서울대 캠퍼스맵 API
201,농업생명과학대학환경관(201동),37.45687,126.94852,2021-1,2026-2,서울대 캠퍼스맵 API
203,SPC농생명과학 및 기초과학연구동(203동),37.45834,126.94836,2021-1,2026-2,서울대 캠퍼스맵 API
207,야외조각실습장1(207동),37.4640933271623,126.95294896735,2021-1,2021-2,서울대 캠퍼스맵 API
220,종합교육연구동(220동),37.46451,126.95424,2021-1,2026-2,서울대 캠퍼스맵 API
221,보건대학원(221동),37.46489,126.95469,2021-1,2026-2,서울대 캠퍼스맵 API
222,생활과학대학(222동),37.46437,126.95318,2021-1,2026-2,서울대 캠퍼스맵 API
223,관악 223동[우석경제관](223동),37.465509,126.955673,2022-1,2026-2,서울대 캠퍼스맵 API
300,관악 300동[유회진 학술정보관](300동),37.45095,126.9527,2023-1,2026-2,서울대 캠퍼스맵 API
301,제1공학관(301동),37.45016,126.95259,2021-1,2026-2,서울대 캠퍼스맵 API
302,제2공학관(302동),37.44887,126.95265,2021-1,2026-2,서울대 캠퍼스맵 API
500,대학원연구동(2단계)(500동),37.4592190840394,126.948120067187,2021-1,2026-2,서울대 캠퍼스맵 API
919,관악학생생활관 919동 (출발/도착 후보),37.45280,126.95750,,,근사값 — 확인 필요
942,LG연구동(942동),37.46587,126.96088,2021-1,2026-2,서울대 캠퍼스맵 API
GATE,정문 (출발/도착 후보),37.46620,126.94900,,,근사값
